customer_id,tenure_months,days_since_purchase,orders_90d,avg_basket,discount_share,returns_90d,support_tickets,loyalty_member,preferred_category,churned_90d
R00432,13,55,5,71.1,0.35,0,0,Yes,Electronics,0
R00433,1,54,4,51.31,0.382,0,0,No,Apparel,0
R00434,28,30,4,47.24,0.227,0,0,Yes,Home,0
R00435,60,49,5,95.65,0.433,0,1,Yes,Electronics,0
R00436,56,46,7,21.11,0,0,0,Yes,Home,0
R00437,6,28,6,80.39,0.314,0,0,No,Grocery,0
R00438,57,49,7,36.53,0.365,2,0,Yes,Electronics,0
R00439,18,85,1,61.46,0.403,2,2,Yes,Home,0
R00440,14,58,3,64.94,0.121,1,0,Yes,Beauty,0
R00441,10,61,2,33.06,0.202,0,0,Yes,Home,0
R00442,24,47,5,45.31,0.168,0,0,Yes,Electronics,0
R00443,40,50,3,84.55,0.386,1,1,Yes,Electronics,0
R00444,22,79,7,58.18,0.38,1,0,Yes,Electronics,0
R00445,50,68,5,45.61,0.46,0,0,Yes,Apparel,1
R00446,49,74,2,10,0.395,0,1,Yes,Apparel,0
R00447,39,71,4,107.48,0.148,0,0,No,Beauty,0
R00448,6,65,4,61.47,0.078,1,2,Yes,Grocery,0
R00449,30,30,5,68.42,0.42,1,0,No,Home,0
R00450,14,36,2,25.85,0.41,1,1,Yes,Home,0
R00451,22,29,7,69.81,0.337,0,0,Yes,Home,0
R00452,37,67,4,31.57,0.216,1,0,Yes,Beauty,0
R00453,7,38,4,50.67,0.389,1,1,Yes,Beauty,0
R00454,42,84,4,65.14,0.355,0,0,Yes,Grocery,1
R00455,35,94,5,31.54,0.227,1,2,Yes,Apparel,1
R00456,7,51,8,51.08,0.456,1,1,Yes,Electronics,0
R00457,24,39,4,36.15,0,0,0,Yes,Grocery,0
R00458,50,36,4,10,0.378,1,0,Yes,Grocery,0
R00459,29,81,3,162.42,0.49,1,1,No,Home,1
R00460,17,69,0,123.83,0.127,0,0,No,Apparel,0
R00461,21,26,5,39.95,0.263,0,0,No,Electronics,0
R00462,29,81,6,38.32,0.455,1,1,Yes,Grocery,0
R00463,27,43,2,63.83,0.286,1,1,Yes,Beauty,0
R00464,45,72,5,87.26,0.323,3,2,Yes,Electronics,0
R00465,30,50,7,71.83,0.376,0,0,Yes,Beauty,0
R00466,37,66,3,17.53,0.02,0,1,Yes,Beauty,0
R00467,63,58,4,46.45,0.56,2,2,No,Home,1
R00468,1,94,2,39.75,0.258,0,0,Yes,Beauty,0
R00469,7,46,6,63.49,0.529,0,0,Yes,Home,0
R00470,51,87,6,10,0.128,0,0,Yes,Beauty,0
R00471,50,80,6,60.7,0.306,0,1,Yes,Grocery,1
R00472,56,60,1,12.08,0,1,0,Yes,Beauty,0
R00473,44,52,7,84.67,0.558,1,0,Yes,Grocery,0
R00474,14,50,5,65.8,0.133,0,1,No,Beauty,0
R00475,38,68,8,39.66,0,0,1,Yes,Apparel,0
R00476,52,44,6,37.28,0.422,3,1,Yes,Grocery,0
R00477,3,54,0,42.32,0.289,1,1,No,Home,1
R00478,53,80,3,34,0.392,1,0,Yes,Beauty,1
R00479,47,46,9,84.61,0.282,1,0,Yes,Electronics,0
R00480,19,100,3,45.15,0.329,0,0,Yes,Grocery,0
R00481,27,70,5,35.44,0.376,1,1,Yes,Apparel,0
R00482,32,45,1,52.38,0.114,0,1,No,Home,0
R00483,40,54,3,91.7,0,0,1,Yes,Home,1
R00484,36,54,3,44.45,0.505,0,0,Yes,Apparel,0
R00485,2,70,5,58.76,0.068,0,0,Yes,Grocery,0
R00486,27,38,2,62.79,0.559,0,0,Yes,Home,0
R00487,12,70,2,119.22,0.465,1,0,Yes,Beauty,0
R00488,15,47,5,32.91,0.314,0,0,Yes,Electronics,1
R00489,59,121,3,67.89,0.674,2,0,Yes,Beauty,1
R00490,28,81,0,10,0.348,2,1,No,Electronics,1
R00491,47,81,6,63.27,0.044,1,0,Yes,Home,0
R00492,54,43,4,27.9,0.424,1,0,Yes,Apparel,0
R00493,59,59,5,60.84,0,0,1,Yes,Beauty,0
R00494,8,104,3,15.09,0.507,1,0,Yes,Home,1
R00495,33,44,6,31.57,0.136,0,0,Yes,Beauty,0
R00496,50,47,2,13.5,0.072,0,1,Yes,Beauty,0
R00497,2,76,2,62.38,0.204,0,1,Yes,Electronics,1
R00498,24,28,5,90.48,0.458,0,0,Yes,Grocery,0
R00499,38,35,4,42.74,0.371,1,2,Yes,Grocery,0
R00500,30,23,7,43.73,0.233,1,0,No,Grocery,0
R00501,38,72,6,19.39,0.252,1,1,Yes,Home,0
R00502,39,48,3,63.8,0.254,1,2,Yes,Beauty,0
R00503,29,53,4,18.98,0.162,0,0,Yes,Grocery,0
R00504,28,51,6,98.02,0.53,2,1,Yes,Grocery,0
R00505,27,36,9,104.19,0.375,0,0,Yes,Beauty,0
R00506,27,42,1,65.34,0.252,2,0,No,Electronics,0
R00507,34,81,5,83.94,0.085,0,0,Yes,Electronics,0
R00508,52,58,6,83.17,0.249,0,0,Yes,Home,0
R00509,55,49,4,46.71,0.334,0,0,Yes,Electronics,0
R00510,52,80,4,31.29,0.284,1,0,Yes,Beauty,0
R00511,50,53,6,71.46,0.464,1,2,Yes,Electronics,1
R00512,35,42,9,30.1,0.413,2,0,Yes,Beauty,0
R00513,31,28,7,134.15,0.368,1,0,Yes,Grocery,0
R00514,58,49,3,74.92,0.062,0,1,Yes,Home,0
R00515,4,58,1,95.67,0.103,0,0,No,Electronics,0
R00516,17,68,0,15.45,0.311,0,1,Yes,Grocery,0
R00517,49,68,4,55.76,0.394,0,1,Yes,Electronics,1
R00518,42,49,6,73.28,0.243,0,1,Yes,Apparel,0
R00519,9,50,1,31.75,0.22,0,2,No,Home,1
R00520,31,47,5,52.62,0.224,0,0,Yes,Beauty,0
R00521,30,41,7,42.27,0.463,1,2,Yes,Grocery,0
R00522,39,51,3,84.76,0.479,0,0,Yes,Beauty,0
R00523,57,62,4,50.31,0.01,0,0,Yes,Grocery,0
R00524,11,51,3,48.32,0.184,0,0,Yes,Electronics,0
R00525,21,89,2,60.56,0.581,1,0,No,Electronics,1
R00526,23,45,5,66.82,0.078,2,0,Yes,Home,0
R00527,14,49,4,78.78,0,1,0,No,Home,0
R00528,19,53,6,56.39,0.232,0,0,Yes,Beauty,0
R00529,39,52,4,26.37,0.281,1,1,Yes,Apparel,1
R00530,23,62,3,56.57,0.116,0,0,Yes,Electronics,0
R00531,1,78,1,49.13,0.413,0,0,Yes,Grocery,1
R00532,10,66,3,37.65,0.452,2,0,Yes,Home,1
R00533,59,35,7,70.16,0.374,0,0,Yes,Beauty,0
R00534,61,57,7,78.3,0.59,1,1,Yes,Beauty,0
R00535,63,31,2,91.2,0.258,0,0,Yes,Electronics,0
R00536,4,43,5,56.9,0.09,0,0,Yes,Apparel,0
R00537,24,36,7,25.58,0.073,0,0,No,Electronics,0
R00538,40,41,9,94.22,0.367,0,0,Yes,Grocery,0
R00539,7,83,6,70.27,0.383,1,2,Yes,Apparel,0
R00540,35,104,6,77.34,0,0,0,Yes,Apparel,1
R00541,63,70,2,110.81,0.146,1,1,Yes,Beauty,0
R00542,16,44,4,63,0.019,0,0,Yes,Home,0
R00543,3,62,4,85.46,0.187,2,0,Yes,Grocery,0
R00544,36,87,1,32.81,0.232,0,1,Yes,Beauty,1
R00545,51,54,7,42.32,0.337,1,1,Yes,Grocery,0
R00546,29,92,1,72.25,0.128,0,0,Yes,Home,0
R00547,43,120,6,73.08,0.33,0,0,Yes,Grocery,0
R00548,25,53,3,37.72,0.312,0,1,Yes,Electronics,0
R00549,35,42,6,48.1,0.192,0,2,Yes,Grocery,0
R00550,41,47,7,69.03,0.195,0,1,Yes,Electronics,0
R00551,50,24,7,18.11,0.245,0,2,Yes,Electronics,0
R00552,8,45,4,19.69,0,0,0,No,Apparel,0
R00553,57,37,7,50.63,0.567,0,0,Yes,Grocery,0
R00554,43,50,3,39.81,0.169,0,0,Yes,Electronics,0
R00555,57,52,6,46.67,0.061,0,0,Yes,Grocery,0
R00556,7,153,1,48.87,0.288,0,0,Yes,Apparel,0
R00557,46,32,5,45.71,0.114,1,0,Yes,Home,0
R00558,1,101,1,45.64,0.392,1,0,No,Apparel,1
R00559,52,47,2,95.74,0.299,1,0,Yes,Electronics,0
R00560,57,70,3,85.54,0.145,1,0,Yes,Apparel,0
R00561,1,94,1,44.96,0.239,2,0,No,Electronics,0
R00562,57,101,4,35.75,0.185,1,1,Yes,Grocery,1
R00563,40,43,5,35.19,0.387,0,0,Yes,Apparel,1
R00564,50,53,7,10,0.347,0,0,Yes,Beauty,0
R00565,9,93,1,82.83,0.192,1,0,No,Grocery,1
R00566,2,83,2,20.97,0.355,1,0,Yes,Home,1
R00567,13,52,8,23.79,0.022,1,0,Yes,Beauty,0
R00568,55,67,6,56.14,0.184,0,0,Yes,Electronics,0
R00569,8,45,6,44.24,0,1,1,Yes,Home,0
R00570,6,65,3,20.65,0.698,2,1,Yes,Apparel,1
R00571,28,52,5,80.21,0.448,0,0,No,Electronics,0
R00572,50,83,5,118.78,0.345,0,0,Yes,Grocery,0
R00573,54,38,6,44.09,0.398,0,0,Yes,Electronics,0
R00574,36,60,7,76.04,0.275,2,1,Yes,Electronics,0
R00575,40,55,7,36.01,0.089,1,0,No,Electronics,1
R00576,8,73,1,61.94,0.418,2,2,Yes,Grocery,1
R00577,46,36,8,67.13,0.545,0,0,Yes,Home,0
R00578,54,99,2,85.26,0.25,0,0,Yes,Grocery,0
R00579,20,35,6,65.18,0.403,0,1,No,Grocery,0
R00580,26,47,1,67.5,0.3,0,0,Yes,Apparel,0
R00581,31,31,7,72.7,0.113,0,0,Yes,Home,0
R00582,10,95,0,106.05,0.459,3,2,Yes,Beauty,0
R00583,46,27,5,25.48,0.029,1,0,No,Electronics,0
R00584,51,66,8,75.42,0.307,1,0,Yes,Beauty,0
R00585,57,36,4,93.1,0.077,1,1,Yes,Grocery,0
R00586,25,62,3,98.02,0.545,1,1,Yes,Electronics,0
R00587,42,35,9,24.51,0.208,0,0,Yes,Beauty,0
R00588,46,50,8,64.47,0.421,0,0,Yes,Beauty,1
R00589,51,46,6,78.22,0.313,0,0,Yes,Beauty,0
R00590,14,49,3,73.33,0,0,1,Yes,Beauty,0
R00591,42,50,3,68.11,0.313,1,0,Yes,Home,0
R00592,1,56,3,74,0.583,2,0,No,Beauty,0
R00593,10,50,1,63.59,0.201,1,1,No,Apparel,1
R00594,4,93,6,78.23,0.149,1,0,Yes,Beauty,0
R00595,32,52,3,60.28,0.411,0,1,Yes,Electronics,0
R00596,45,28,5,20.82,0,0,1,Yes,Apparel,0
R00597,33,56,4,56.64,0.115,0,0,Yes,Home,0
R00598,61,40,7,53.07,0.176,1,0,Yes,Home,0
R00599,52,42,5,54.56,0.335,0,1,Yes,Apparel,0
R00600,62,60,5,17.42,0.008,0,1,Yes,Home,0
R00601,9,54,2,43.88,0.057,1,0,No,Grocery,0
R00602,15,126,3,105.66,0.458,1,2,No,Home,1
R00603,47,49,6,45.31,0.094,0,0,Yes,Grocery,0
R00604,1,30,5,102.93,0.082,2,1,No,Electronics,0
R00605,47,62,6,51.34,0.071,1,1,Yes,Home,1
R00606,52,50,9,51.86,0.412,1,0,Yes,Grocery,0
R00607,53,24,8,78.25,0.183,1,1,Yes,Beauty,0
R00608,16,67,3,58.18,0.222,0,2,Yes,Apparel,1
R00609,37,76,4,55.7,0.353,1,0,Yes,Grocery,1
R00610,18,56,9,139.67,0.276,1,1,Yes,Apparel,0
R00611,37,59,2,61.2,0.515,3,0,Yes,Beauty,0
R00612,28,59,3,62.15,0.34,1,2,Yes,Grocery,0
R00613,40,23,7,84.92,0.514,1,1,Yes,Apparel,0
R00614,56,55,5,90.46,0.517,1,0,Yes,Grocery,0
R00615,22,62,6,59.51,0.411,0,0,Yes,Home,0
R00616,56,83,9,160.57,0.605,1,1,Yes,Grocery,0
R00617,41,70,2,58.49,0.256,1,0,Yes,Grocery,1
R00618,17,58,5,10,0.315,1,1,Yes,Apparel,0
R00619,64,73,3,42.28,0.125,2,1,Yes,Home,0
R00620,7,86,1,62.39,0.108,1,0,Yes,Electronics,0
R00621,9,39,4,50.9,0.346,2,1,No,Grocery,0
R00622,3,87,2,52.23,0.215,1,1,Yes,Grocery,1
R00623,14,74,1,73.97,0.337,1,1,No,Home,1
R00624,40,76,4,38.8,0.289,1,1,Yes,Grocery,0
R00625,62,57,4,20.18,0.291,0,0,Yes,Electronics,0
R00626,34,37,7,53.53,0.381,0,0,No,Electronics,1
R00627,60,51,7,57.27,0.289,2,2,Yes,Grocery,0
R00628,11,100,0,54.19,0.386,0,0,No,Apparel,1
R00629,62,59,4,64.01,0.234,2,2,Yes,Electronics,0
R00630,32,43,9,88.39,0.228,0,0,Yes,Grocery,0
R00631,32,22,8,62.77,0.178,1,0,Yes,Grocery,0
R00632,25,60,4,73.44,0.622,1,0,No,Electronics,1
R00633,22,52,0,48.28,0.308,1,1,No,Beauty,1
R00634,22,77,5,85.4,0.254,0,0,Yes,Beauty,0
R00635,46,54,6,39.62,0.632,2,1,Yes,Apparel,0
R00636,47,70,7,55.25,0.293,0,0,Yes,Grocery,0
R00637,59,89,3,68.43,0.312,0,1,Yes,Home,0
R00638,36,69,2,86.7,0,0,0,Yes,Beauty,0
R00639,29,42,4,53.69,0.327,0,1,Yes,Apparel,0
R00640,34,50,5,80.49,0.378,1,0,Yes,Home,0
R00641,48,55,7,35.67,0.07,0,0,Yes,Grocery,0
R00642,60,66,7,82.05,0.437,0,1,Yes,Electronics,0
R00643,44,70,4,97.43,0.545,1,0,Yes,Beauty,0
R00644,11,91,8,58.47,0.377,1,0,No,Home,0
R00645,13,55,6,90.31,0.122,0,0,Yes,Grocery,0
R00646,42,47,11,78.33,0,0,0,Yes,Home,0
R00647,55,91,3,77.04,0.249,1,1,Yes,Apparel,0
R00648,48,83,2,100.48,0.301,1,0,Yes,Grocery,1
R00649,8,66,3,121.22,0.069,0,1,No,Apparel,0
R00650,38,22,6,92.86,0,0,0,Yes,Grocery,0
R00651,63,51,7,20.26,0.525,1,1,Yes,Beauty,0
R00652,61,66,9,48.15,0.382,1,0,Yes,Apparel,0
R00653,41,68,2,31.14,0.494,0,1,Yes,Home,0
R00654,46,46,5,111.88,0.11,0,0,Yes,Grocery,0
R00655,18,45,5,54.89,0.067,0,0,Yes,Electronics,0
R00656,28,99,4,55.95,0.392,2,1,Yes,Beauty,0
R00657,62,36,5,62.16,0.38,2,1,Yes,Beauty,0
R00658,24,98,3,48.28,0.398,1,1,Yes,Grocery,1
R00659,24,66,7,54.01,0.415,1,1,Yes,Grocery,1
R00660,54,59,4,80.88,0.259,1,0,Yes,Home,0
R00661,30,63,3,27.99,0.733,4,0,No,Apparel,1
R00662,11,50,3,104.1,0.322,0,1,Yes,Grocery,1
R00663,28,51,5,10.18,0.238,2,0,Yes,Home,0
R00664,31,69,8,21.49,0.321,2,1,No,Beauty,0
R00665,18,45,7,41.48,0.508,1,0,No,Grocery,0
R00666,20,61,0,38.78,0.136,0,1,Yes,Beauty,0
R00667,11,72,4,109.38,0.236,0,1,Yes,Apparel,1
R00668,47,31,5,32.56,0.207,1,1,Yes,Apparel,1
R00669,17,93,2,43.41,0.215,1,0,Yes,Grocery,0
R00670,38,52,4,69.54,0.292,0,0,Yes,Apparel,0
R00671,64,51,9,23.9,0.027,0,2,Yes,Apparel,0
R00672,58,26,8,79.87,0.407,1,0,Yes,Apparel,0
R00673,48,28,7,91.75,0.438,1,0,Yes,Apparel,0
R00674,22,117,0,47.35,0.187,0,0,Yes,Home,1
R00675,1,93,5,33.08,0.431,1,0,Yes,Grocery,1
R00676,21,57,7,90.67,0.347,0,1,Yes,Beauty,1
R00677,8,52,3,77.7,0.306,0,0,No,Home,0
R00678,57,55,2,28.25,0.075,1,0,Yes,Beauty,0
R00679,30,81,2,86.1,0.583,1,1,No,Home,1
R00680,37,23,7,69.88,0.282,0,0,Yes,Beauty,0
R00681,51,51,5,89.56,0.31,1,1,Yes,Apparel,0
R00682,63,50,2,59.04,0.342,1,1,Yes,Electronics,0
R00683,49,60,4,28.79,0.247,1,1,Yes,Home,0
R00684,31,57,1,75.5,0.08,0,1,Yes,Electronics,0
R00685,46,62,5,115.6,0.483,2,1,Yes,Electronics,0
R00686,33,28,4,17.22,0.366,0,0,Yes,Home,0
R00687,49,55,7,69.22,0.21,0,2,Yes,Beauty,0
R00688,22,69,5,68.09,0,0,0,Yes,Home,0
R00689,4,77,1,47.37,0.154,1,2,No,Home,1
R00690,53,84,4,22.25,0.207,0,2,Yes,Electronics,0
R00691,29,81,2,51.63,0.241,1,1,Yes,Home,0
R00692,27,56,6,10,0.244,3,0,Yes,Home,0
R00693,12,48,1,48.83,0.198,1,0,No,Apparel,1
R00694,57,81,3,91.59,0.419,0,1,Yes,Beauty,0
R00695,8,69,4,28.23,0.246,0,0,No,Electronics,0
R00696,52,105,2,75.03,0.453,2,0,Yes,Electronics,0
R00697,43,35,6,117.25,0.233,1,1,Yes,Electronics,0
R00698,23,36,2,28.38,0.407,0,0,No,Apparel,0
R00699,32,71,7,38.68,0.405,0,0,Yes,Electronics,0
R00700,10,27,3,10,0.239,0,1,Yes,Beauty,0
R00701,9,49,0,10,0.374,2,1,Yes,Apparel,1
R00702,31,60,6,68.61,0.353,0,1,Yes,Beauty,0
R00703,62,46,7,79.36,0.446,1,2,Yes,Beauty,0
R00704,6,45,6,97.37,0.15,1,0,Yes,Electronics,0
R00705,5,25,3,41.44,0.535,0,0,Yes,Grocery,0
R00706,58,89,7,19.87,0.525,1,0,Yes,Home,1
R00707,39,37,2,74.57,0,0,0,Yes,Beauty,0
R00708,9,27,2,77.49,0.475,1,1,No,Apparel,1
R00709,48,37,4,71.12,0.211,1,2,Yes,Home,0
R00710,59,58,8,20.45,0.489,1,2,Yes,Grocery,0
R00711,7,46,3,38.2,0.218,0,0,Yes,Home,0
R00712,55,27,6,52.83,0.386,1,1,Yes,Beauty,0
R00713,60,53,8,82.94,0.24,0,0,Yes,Grocery,0
R00714,51,41,4,81.35,0.139,0,0,Yes,Beauty,0
R00715,55,66,3,54.1,0.437,2,2,Yes,Grocery,1
R00716,39,84,6,31.19,0.504,0,0,Yes,Home,0
R00717,20,76,2,79.29,0,0,0,No,Apparel,1
R00718,23,44,4,41.06,0.242,0,1,Yes,Home,0
R00719,30,44,5,34.61,0.225,0,0,Yes,Home,0
R00720,21,45,6,90.12,0.085,1,1,Yes,Home,0
R00721,2,20,4,48.56,0.193,0,0,Yes,Grocery,0
R00722,54,48,7,35.85,0.371,1,0,Yes,Grocery,0
R00723,7,49,4,63.78,0.348,0,0,No,Beauty,1
R00724,53,37,11,66.98,0.303,1,0,Yes,Apparel,0
R00725,60,104,3,77.71,0.517,0,1,Yes,Beauty,1
R00726,13,112,6,85.81,0.275,1,0,Yes,Beauty,0
R00727,52,32,7,47.22,0.324,2,1,Yes,Grocery,0
R00728,14,48,6,91.64,0.507,1,0,Yes,Electronics,0
R00729,2,61,4,129.57,0.286,0,0,Yes,Grocery,0
R00730,53,67,7,73.87,0,0,0,Yes,Grocery,1
R00731,53,34,7,10,0.296,2,0,Yes,Beauty,0
R00732,45,62,6,17.87,0.043,1,2,Yes,Grocery,0
R00733,19,34,4,71.91,0.186,0,0,No,Home,0
R00734,25,97,3,83.3,0.435,2,2,Yes,Electronics,0
R00735,54,59,3,42.4,0.14,0,0,Yes,Apparel,0
R00736,53,119,0,11.82,0.271,0,0,Yes,Home,1
R00737,11,58,4,54.28,0.173,1,1,Yes,Grocery,0
R00738,39,48,5,10,0.1,0,1,Yes,Home,0
R00739,34,54,6,100.91,0,0,1,No,Grocery,0
R00740,5,63,2,33.15,0.479,1,0,Yes,Apparel,0
R00741,32,73,2,78.44,0.23,1,0,Yes,Home,0
R00742,39,36,2,38.24,0.12,0,0,Yes,Home,0
R00743,23,38,9,92.65,0.247,0,0,Yes,Home,0
R00744,5,70,3,64.5,0.235,1,1,No,Home,0
R00745,12,83,7,81.13,0.647,0,0,Yes,Electronics,0
R00746,13,43,3,51.61,0.494,0,0,No,Home,0
R00747,1,63,4,64.88,0.476,1,0,No,Beauty,1
R00748,41,65,6,31.68,0.202,0,0,Yes,Home,0
R00749,7,105,2,10,0.552,0,0,Yes,Grocery,0
R00750,55,80,4,96.36,0.397,2,2,Yes,Grocery,0
R00751,19,63,5,28.3,0.365,2,2,Yes,Electronics,0
R00752,26,65,2,69.03,0.36,1,1,Yes,Beauty,0
R00753,42,34,3,22.67,0.393,1,2,Yes,Grocery,0
R00754,8,40,4,32.51,0.645,3,1,Yes,Apparel,0
R00755,1,50,1,46.62,0.261,0,0,No,Electronics,1
R00756,31,73,5,46.93,0.233,1,2,Yes,Electronics,0
R00757,16,105,3,20.55,0.384,1,0,Yes,Electronics,1
R00758,33,34,5,37.22,0.37,1,0,Yes,Apparel,0
R00759,25,29,5,62.92,0.394,1,0,Yes,Grocery,0
R00760,32,54,4,18.52,0.164,0,0,Yes,Home,1
R00761,43,45,6,47.2,0.363,1,0,Yes,Home,1
R00762,34,81,6,94.54,0.273,0,1,Yes,Home,0
R00763,24,52,5,62.29,0.283,1,2,Yes,Home,1
R00764,28,61,3,51.94,0.559,2,0,Yes,Grocery,0
R00765,21,47,5,54.83,0.37,1,0,Yes,Electronics,0
R00766,28,46,5,56.19,0.531,1,2,Yes,Beauty,0
R00767,2,45,6,64.34,0.158,1,2,No,Home,0
R00768,21,70,2,10,0.074,1,1,No,Beauty,1
R00769,39,31,6,70.16,0.404,0,1,Yes,Home,0
R00770,14,41,1,98.7,0.551,0,0,Yes,Grocery,0
R00771,18,49,5,71.87,0.13,0,0,No,Electronics,0
R00772,12,68,2,32.9,0.602,2,1,Yes,Beauty,0
R00773,43,80,3,45.8,0.282,1,1,Yes,Home,1
R00774,32,49,3,90.25,0.298,1,1,No,Electronics,1
R00775,13,29,2,70.87,0,0,0,Yes,Electronics,0
R00776,50,47,7,72.64,0.12,0,0,No,Electronics,0
R00777,8,43,6,91.6,0.329,0,0,Yes,Apparel,0
R00778,11,69,2,38.94,0.145,1,2,No,Beauty,1
R00779,62,106,3,38.48,0.419,1,0,Yes,Grocery,1
R00780,7,57,7,50.89,0.38,0,0,No,Grocery,0
R00781,41,55,6,54.54,0.495,2,1,Yes,Grocery,0
R00782,31,58,7,119.14,0.356,0,1,Yes,Electronics,0
R00783,25,32,5,29.22,0,0,0,No,Electronics,0
R00784,24,38,9,39.22,0.239,1,1,No,Apparel,0
R00785,13,64,0,50.37,0,0,0,Yes,Beauty,0
R00786,11,61,8,81.52,0.223,1,1,Yes,Apparel,0
R00787,47,44,2,10,0.293,0,0,Yes,Apparel,0
R00788,27,59,4,29.23,0,0,1,Yes,Electronics,0
R00789,64,79,0,99.19,0.255,0,1,Yes,Grocery,1
R00790,43,51,5,57.11,0.025,0,1,Yes,Beauty,0
R00791,64,46,6,68.69,0.534,0,1,Yes,Grocery,0
R00792,28,69,2,35.83,0,0,0,Yes,Home,0
R00793,45,107,4,119.48,0.719,2,1,Yes,Grocery,0
R00794,56,53,6,80.89,0.282,0,1,Yes,Home,0
R00795,20,59,1,71.01,0.155,0,0,Yes,Electronics,0
R00796,33,55,5,48.98,0.195,1,0,Yes,Home,1
R00797,61,37,10,39.05,0.395,1,1,Yes,Apparel,0
R00798,30,26,6,33.13,0.407,0,1,Yes,Home,0
R00799,53,68,8,39.62,0.295,1,1,Yes,Grocery,1
R00800,55,43,3,87.47,0.425,2,2,Yes,Grocery,0
R00801,64,47,9,10.1,0.25,0,0,Yes,Grocery,0
R00802,58,67,7,58.8,0.376,1,1,Yes,Apparel,0
R00803,21,55,3,84.56,0.37,0,0,Yes,Home,0
R00804,33,47,3,65.04,0.6,0,0,Yes,Grocery,0
R00805,43,35,4,53.81,0.108,0,1,Yes,Home,0
R00806,6,31,2,42.91,0.534,1,0,No,Beauty,1
R00807,55,80,7,79.17,0.414,0,0,Yes,Grocery,0
R00808,40,58,8,10.51,0.14,2,1,Yes,Apparel,0
R00809,22,31,4,95.89,0.278,1,0,Yes,Home,0
R00810,23,115,1,84.31,0.231,2,3,Yes,Apparel,0
R00811,57,43,7,83.94,0.021,0,0,Yes,Apparel,0
R00812,48,41,8,96.57,0.121,0,1,Yes,Grocery,0
R00813,37,51,3,84.15,0.522,4,4,Yes,Grocery,0
R00814,22,57,7,48.5,0.015,0,0,Yes,Grocery,0
R00815,3,57,3,21.27,0.426,1,2,No,Electronics,1
R00816,34,66,9,110.87,0.367,0,0,Yes,Beauty,0
R00817,52,33,8,21.31,0.035,0,0,Yes,Beauty,0
R00818,6,40,5,72.27,0.484,1,2,Yes,Home,0
R00819,10,45,3,35.54,0.319,0,0,Yes,Apparel,0
R00820,19,68,4,44.64,0.176,0,0,Yes,Electronics,0
R00821,35,49,4,80.45,0.205,0,0,Yes,Electronics,0
R00822,3,63,2,79.12,0.464,1,1,Yes,Home,1
R00823,28,44,5,32.8,0.229,2,0,Yes,Grocery,0
R00824,22,51,5,65.58,0.38,1,1,No,Home,0
R00825,24,99,2,56.56,0.102,0,1,Yes,Apparel,1
R00826,3,147,4,77.16,0.155,1,1,Yes,Apparel,0
R00827,45,94,1,54.57,0.157,1,2,Yes,Beauty,1
R00828,32,42,0,36.94,0.077,0,0,Yes,Electronics,0
R00829,8,73,7,94.91,0.022,0,1,No,Home,0
R00830,28,63,3,10,0.436,1,0,Yes,Apparel,0
R00831,46,45,5,14.84,0,1,1,Yes,Home,0
R00832,17,60,2,73.51,0.429,1,1,Yes,Apparel,1
R00833,2,41,6,40.55,0.092,0,0,Yes,Home,0
R00834,37,48,4,54.4,0.708,2,1,No,Grocery,1
R00835,24,22,3,67.59,0.019,1,2,Yes,Beauty,0
R00836,42,59,5,86.87,0.663,1,1,Yes,Beauty,0
R00837,54,26,6,42.78,0.172,1,0,Yes,Grocery,0
R00838,45,64,4,49.54,0,0,0,Yes,Electronics,0
R00839,63,72,11,68.1,0.353,1,0,Yes,Electronics,0
R00840,51,49,5,37.16,0.224,1,0,Yes,Home,0
R00841,32,26,6,12.7,0.141,0,0,Yes,Apparel,0
R00842,55,71,5,10,0.589,0,0,Yes,Electronics,0
R00843,48,90,2,63.64,0,1,0,Yes,Electronics,1
R00844,31,62,3,49.7,0.086,0,0,Yes,Electronics,0
R00845,6,34,4,34.45,0.056,0,0,Yes,Electronics,0
R00846,21,43,3,68.74,0.046,2,0,Yes,Grocery,0
R00847,46,75,4,10,0.163,0,0,Yes,Apparel,0
R00848,31,28,7,58.77,0.363,0,0,Yes,Apparel,0
R00849,23,77,3,47.15,0.37,0,1,No,Electronics,1
R00850,45,76,4,10,0.218,0,1,Yes,Apparel,1
R00851,11,31,3,99.56,0.244,1,1,Yes,Apparel,0
R00852,6,62,3,10,0.45,1,0,No,Apparel,0
R00853,12,25,7,92.09,0.253,0,1,No,Grocery,0
R00854,7,33,7,32.11,0.535,2,2,Yes,Beauty,0
R00855,62,63,8,86.05,0,0,0,Yes,Apparel,0
R00856,11,69,1,35.94,0,0,1,Yes,Beauty,0
R00857,23,82,6,21.91,0.474,1,2,Yes,Apparel,0
R00858,11,36,4,37.38,0.315,1,1,Yes,Grocery,0
R00859,15,85,4,26.78,0.517,1,0,No,Electronics,1
R00860,35,64,7,70.01,0.27,1,1,Yes,Grocery,1
R00861,17,99,0,58.23,0.032,1,0,Yes,Beauty,1
R00862,42,54,5,97.29,0.473,1,1,Yes,Electronics,0
R00863,57,74,2,64.8,0.426,1,1,Yes,Home,0
R00864,27,69,4,45.23,0.334,1,0,Yes,Grocery,1
R00865,17,91,0,70.43,0.349,2,2,No,Grocery,1
R00866,8,56,8,10,0,0,0,No,Apparel,0
